Profundidade [m]	Densidade Aparente Seca [g/cm3]
2424.99	
2425.19	
2425.39	
2425.59	
2425.79	
2425.99	
2426.19	
2426.39	
2426.59	
2426.79	
2426.99	
2427.19	
2427.39	
2427.59	
2427.79	
2427.99	
2428.19	
2428.39	
2428.59	
2428.79	
2428.99	
2429.19	
2429.39	
2429.59	
2429.79	
2429.99	
2430.19	
2430.39	
2430.59	
2430.79	
2430.99	
2431.19	
2431.39	
2431.59	
2431.79	
2431.99	
2432.19	
2432.39	
2432.59	
2432.79	
2432.99	
2433.19	
2433.39	
2433.59	
2433.79	
2433.99	
2434.19	
2434.39	
2434.59	
2434.79	
2434.99	
2435.19	
2435.39	
2435.59	
2435.79	
2435.99	
2436.19	
2436.39	
2436.59	
2436.79	
2436.99	
2437.19	
2437.39	
2437.59	
2437.79	
2437.99	
2438.19	
2438.39	
2438.59	
2438.79	
2438.99	
2439.19	
2439.39	
2439.59	
2439.79	
2439.99	
2440.19	
2440.39	
2440.59	
2440.79	
2440.99	
2441.19	
2441.39	
2441.59	
2441.79	
2441.99	
2442.19	
2442.39	
2442.59	
2442.79	
2442.99	
2443.19	
2443.39	
2443.59	
2443.79	
2443.99	
2444.19	
2444.39	
2444.59	
2444.79	
2444.99	
2445.19	
2445.39	
2445.59	
2445.79	
2445.99	
2446.19	
2446.39	
2446.59	
2446.79	
2446.99	
2447.19	
2447.39	
2447.59	
2447.79	
2447.99	
2448.19	
2448.39	
2448.59	
2448.79	
2448.99	
2449.19	
2449.39	
2449.59	
2449.79	
2449.99	
2450.19	
2450.39	
2450.59	
2450.79	
2450.99	
2451.19	
2451.39	
2451.59	
2451.79	
2451.99	
2452.19	
2452.39	
2452.59	
2452.79	
2452.99	
2453.19	
2453.39	
2453.59	
2453.79	
2453.99	
2454.19	
2454.39	
2454.59	
2454.79	
2454.99	
2455.19	
2455.39	
2455.59	
2455.79	
2455.99	
2456.19	
2456.39	
2456.59	
2456.79	
2456.99	
2457.19	
2457.39	
2457.59	
2457.79	
2457.99	
2458.19	
2458.39	
2458.59	
2458.79	
2458.99	
2459.19	
2459.39	
2459.59	
2459.79	
2459.99	
2460.19	
2460.39	
2460.59	
2460.79	
2460.99	
2461.19	
2461.39	
2461.59	
2461.79	
2461.99	
2462.19	
2462.39	
2462.59	
2462.79	
2462.99	
2463.19	
2463.39	
2463.59	
2463.79	
2463.99	
2464.19	
2464.39	
2464.59	
2464.79	
2464.99	
2465.19	
2465.39	
2465.59	
2465.79	
2465.99	
2466.19	
2466.39	
2466.59	
2466.79	
2466.99	
2467.19	
2467.39	
2467.59	
2467.79	
