Profundidade [m]	Densidade Aparente Seca [g/cm3]
2430.4	
2430.6	
2430.8	
2431.0	
2431.2	
2431.4	
2431.6	
2431.8	
2432.0	
2432.2	
2432.4	
2432.6	
2432.8	
2433.0	
2433.2	
2433.4	
2433.6	
2433.8	
2434.0	
2434.2	
2434.4	
2434.6	
2434.8	
2435.0	
2435.2	
2435.4	
2435.6	
2435.8	
2436.0	
2436.2	
2436.4	
2436.6	
2436.8	
2437.0	
2437.2	
2437.4	
2437.6	
2437.8	
2438.0	
2438.2	
2438.4	
2438.6	
2438.8	
2439.0	
2439.2	
2439.4	
2439.6	
2439.8	
2440.0	
2440.2	
2440.4	
2440.6	
2440.8	
2441.0	
2441.2	
2441.4	
2441.6	
2441.8	
2442.0	
2442.2	
2442.4	
2442.6	
2442.8	
2443.0	
2443.2	
2443.4	
2443.6	
2443.8	
2444.0	
2444.2	
2444.4	
2444.6	
2444.8	
2445.0	
2445.2	
2445.4	
2445.6	
2445.8	
2446.0	
2446.2	
2446.4	
2446.6	
2446.8	
2447.0	
2447.2	
2447.4	
2447.6	
2447.8	
2448.0	
2448.2	
2448.4	
2448.6	
2448.8	
2449.0	
2449.2	
2449.4	
2449.6	
2449.8	
2450.0	
2450.2	
2450.4	
2450.6	
2450.8	
2451.0	
2451.2	
2451.4	
2451.6	
2451.8	
2452.0	
2452.2	
2452.4	
2452.6	
2452.8	
2453.0	
2453.2	
2453.4	
2453.6	
2453.8	
2454.0	
2454.2	
2454.4	
2454.6	
2454.8	
2455.0	
2455.2	
2455.4	
2455.6	
2455.8	
2456.0	
2456.2	
2456.4	
2456.6	
2456.8	
2457.0	
2457.2	
2457.4	
2457.6	
2457.8	
2458.0	
2458.2	
2458.4	
2458.6	
2458.8	
2459.0	
2459.2	
2459.4	
2459.6	
2459.8	
2460.0	
2460.2	
2460.4	
2460.6	
2460.8	
2461.0	
2461.2	
2461.4	
2461.6	
2461.8	
2462.0	
2462.2	
2462.4	
2462.6	
2462.8	
2463.0	
2463.2	
2463.4	
2463.6	
2463.8	
2464.0	
2464.2	
2464.4	
2464.6	
2464.8	
2465.0	
2465.2	
2465.4	
2465.6	
2465.8	
2466.0	
2466.2	
2466.4	
2466.6	
2466.8	
2467.0	
2467.2	
2467.4	
2467.6	
2467.8	
2468.0	
2468.2	
2468.4	
2468.6	
2468.8	
2469.0	
2469.2	
2469.4	
2469.6	
2469.8	
2470.0	
2470.2	
2470.4	
2470.6	
2470.8	
2471.0	
2471.2	
2471.4	
2471.6	
2471.8	
2472.0	
2472.2	
2472.4	
2472.6	
2472.8	
2473.0	
2473.2	
2473.4	
2473.6	
2473.8	
2474.0	
2474.2	
2474.4	
2474.6	
2474.8	
2475.0	
2475.2	
2475.4	
2475.6	
2475.8	
2476.0	
2476.2	
2476.4	
2476.6	
2476.8	
2477.0	
2477.2	
2477.4	
2477.6	
2477.8	
2478.0	
2478.2	
2478.4	
2478.6	
2478.8	
2479.0	
2479.2	
2479.4	
2479.6	
2479.8	
2480.0	
2480.2	
2480.4	
2480.6	
2480.8	
2481.0	
2481.2	
2481.4	
2481.6	
2481.8	
2482.0	
2482.2	
2482.4	
2482.6	
2482.8	
2483.0	
2483.2	
2483.4	
2483.6	
2483.8	
2484.0	
2484.2	
2484.4	
2484.6	
2484.8	
2485.0	
2485.2	
2485.4	
2485.6	
2485.8	
2486.0	
2486.2	
2486.4	
2486.6	
2486.8	
2487.0	
2487.2	
2487.4	
2487.6	
2487.8	
2488.0	
2488.2	
2488.4	
2488.6	
2488.8	
2489.0	
2489.2	
2489.4	
2489.6	
2489.8	
2490.0	
2490.2	
2490.4	
2490.6	
2490.8	
2491.0	
2491.2	
2491.4	
2491.6	
2491.8	
2492.0	
2492.2	
2492.4	
2492.6	
2492.8	
2493.0	
2493.2	
2493.4	
2493.6	
2493.8	
2494.0	
2494.2	
2494.4	
2494.6	
2494.8	
2495.0	
2495.2	
2495.4	
2495.6	
2495.8	
2496.0	
2496.2	
2496.4	
2496.6	
2496.8	
2497.0	
2497.2	
2497.4	
2497.6	
2497.8	
2498.0	
2498.2	
2498.4	
2498.6	
2498.8	
2499.0	
2499.2	
2499.4	
2499.6	
2499.8	
2500.0	
2500.2	
2500.4	
2500.6	
2500.8	
2501.0	
2501.2	
2501.4	
2501.6	
2501.8	
2502.0	
2502.2	
2502.4	
2502.6	
2502.8	
2503.0	
2503.2	
2503.4	
2503.6	
2503.8	
2504.0	
2504.2	
2504.4	
2504.6	
2504.8	
2505.0	
2505.2	
2505.4	
2505.6	
2505.8	
2506.0	
2506.2	
2506.4	
2506.6	
2506.8	
2507.0	
2507.2	
2507.4	
2507.6	
2507.8	
2508.0	
2508.2	
2508.4	
2508.6	
2508.8	
2509.0	
2509.2	
2509.4	
2509.6	
2509.8	
2510.0	
2510.2	
2510.4	
2510.6	
2510.8	
2511.0	
2511.2	
2511.4	
2511.6	
2511.8	
2512.0	
2512.2	
2512.4	
2512.6	
2512.8	
2513.0	
2513.2	
2513.4	
2513.6	
2513.8	
2514.0	
2514.2	
2514.4	
2514.6	
2514.8	
2515.0	
2515.2	
2515.4	
2515.6	
2515.8	
2516.0	
2516.2	
2516.4	
2516.6	
2516.8	
2517.0	
2517.2	
2517.4	
2517.6	
2517.8	
2518.0	
2518.2	
2518.4	
2518.6	
2518.8	
2519.0	
2519.2	
2519.4	
2519.6	
2519.8	
2520.0	
2520.2	
2520.4	
2520.6	
2520.8	
2521.0	
2521.2	
2521.4	
2521.6	
2521.8	
2522.0	
2522.2	
2522.4	
2522.6	
2522.8	
2523.0	
2523.2	
2523.4	
2523.6	
2523.8	
2524.0	
2524.2	
2524.4	
2524.6	
2524.8	
2525.0	
2525.2	
2525.4	
2525.6	
2525.8	
2526.0	
2526.2	
2526.4	
2526.6	
2526.8	
2527.0	
2527.2	
2527.4	
2527.6	
2527.8	
2528.0	
2528.2	
2528.4	
2528.6	
2528.8	
2529.0	
2529.2	
2529.4	
2529.6	
2529.8	
2530.0	
2530.2	
2530.4	
2530.6	
2530.8	
2531.0	
2531.2	
2531.4	
2531.6	
2531.8	
2532.0	
2532.2	
2532.4	
2532.6	
2532.8	
2533.0	
2533.2	
2533.4	
2533.6	
2533.8	
2534.0	
2534.2	
2534.4	
2534.6	
2534.8	
2535.0	
2535.2	
2535.4	
2535.6	
2535.8	
2536.0	
2536.2	
2536.4	
2536.6	
2536.8	
2537.0	
2537.2	
2537.4	
2537.6	
2537.8	
2538.0	
2538.2	
2538.4	
2538.6	
2538.8	
2539.0	
2539.2	
2539.4	
2539.6	
2539.8	
2540.0	
2540.2	
2540.4	
2540.6	
2540.8	
2541.0	
2541.2	
2541.4	
2541.6	
2541.8	
2542.0	
2542.2	
2542.4	
2542.6	
2542.8	
2543.0	
2543.2	
2543.4	
2543.6	
2543.8	
2544.0	
2544.2	
2544.4	
2544.6	
2544.8	
2545.0	
2545.2	
2545.4	
2545.6	
2545.8	
2546.0	
2546.2	
2546.4	
2546.6	
2546.8	
2547.0	
2547.2	
2547.4	
2547.6	
2547.8	
2548.0	
2548.2	
2548.4	
2548.6	
2548.8	
2549.0	
2549.2	
2549.4	
2549.6	
2549.8	
2550.0	
2550.2	
2550.4	
2550.6	
2550.8	
2551.0	
2551.2	
2551.4	
2551.6	
2551.8	
2552.0	
2552.2	
2552.4	
2552.6	
2552.8	
2553.0	
2553.2	
2553.4	
2553.6	
2553.8	
2554.0	
2554.2	
2554.4	
2554.6	
2554.8	
2555.0	
2555.2	
2555.4	
2555.6	
2555.8	
2556.0	
2556.2	
2556.4	
2556.6	
2556.8	
2557.0	
2557.2	
2557.4	
2557.6	
2557.8	
2558.0	
2558.2	
2558.4	
2558.6	
2558.8	
2559.0	
2559.2	
2559.4	
2559.6	
2559.8	
2560.0	
2560.2	
2560.4	
2560.6	
2560.8	
2561.0	
2561.2	
2561.4	
2561.6	
2561.8	
2562.0	
2562.2	
2562.4	
2562.6	
2562.8	
2563.0	
2563.2	
2563.4	
2563.6	
2563.8	
2564.0	
2564.2	
2564.4	
2564.6	
2564.8	
2565.0	
2565.2	
2565.4	
2565.6	
2565.8	
2566.0	
2566.2	
2566.4	
2566.6	
2566.8	
2567.0	
2567.2	
2567.4	
2567.6	
2567.8	
2568.0	
2568.2	
2568.4	
2568.6	
2568.8	
2569.0	
2569.2	
2569.4	
2569.6	
2569.8	
2570.0	
2570.2	
2570.4	
2570.6	
2570.8	
2571.0	
2571.2	
2571.4	
2571.6	
2571.8	
2572.0	
2572.2	
2572.4	
2572.6	
2572.8	
2573.0	
2573.2	
2573.4	
2573.6	
2573.8	
2574.0	
2574.2	
2574.4	
2574.6	
2574.8	
2575.0	
2575.2	
2575.4	
2575.6	
2575.8	
2576.0	
2576.2	
2576.4	
2576.6	
2576.8	
2577.0	
2577.2	
2577.4	
2577.6	
2577.8	
2578.0	
2578.2	
2578.4	
2578.6	
2578.8	
2579.0	
2579.2	
2579.4	
2579.6	
2579.8	
2580.0	
2580.2	
2580.4	
2580.6	
2580.8	
2581.0	
2581.2	
2581.4	
2581.6	
2581.8	
2582.0	
2582.2	
2582.4	
2582.6	
2582.8	
2583.0	
2583.2	
2583.4	
2583.6	
2583.8	
2584.0	
2584.2	
2584.4	
2584.6	
2584.8	
2585.0	
2585.2	
2585.4	
2585.6	
2585.8	
2586.0	
2586.2	
2586.4	
2586.6	
2586.8	
2587.0	
2587.2	
2587.4	
2587.6	
2587.8	
2588.0	
2588.2	
2588.4	
2588.6	
2588.8	
2589.0	
2589.2	
2589.4	
2589.6	
2589.8	
2590.0	
2590.2	
2590.4	
2590.6	
2590.8	
2591.0	
2591.2	
2591.4	
2591.6	
2591.8	
2592.0	
2592.2	
2592.4	
2592.6	
2592.8	
2593.0	
2593.2	
2593.4	
2593.6	
2593.8	
2594.0	
2594.2	
2594.4	
2594.6	
2594.8	
2595.0	
2595.2	
2595.4	
2595.6	
2595.8	
2596.0	
2596.2	
2596.4	
2596.6	
2596.8	
2597.0	
2597.2	
2597.4	
2597.6	
2597.8	
2598.0	
2598.2	
2598.4	
2598.6	
2598.8	
2599.0	
2599.2	
2599.4	
2599.6	
2599.8	
2600.0	
2600.2	
2600.4	
2600.6	
2600.8	
2601.0	
2601.2	
2601.4	
2601.6	
2601.8	
2602.0	
2602.2	
