Profundidade [m]	Densidade Aparente Seca [g/cm3]
2425.0	
2425.2	
2425.4	
2425.6	
2425.8	
2426.0	
2426.2	
2426.4	
2426.6	
2426.8	
2427.0	
2427.2	
2427.4	
2427.6	
2427.8	
2428.0	
2428.2	
2428.4	
2428.6	
2428.8	
2429.0	
2429.2	
2429.4	
2429.6	
2429.8	
2430.0	
2430.2	
2430.4	
2430.6	
2430.8	
2431.0	
2431.2	
2431.4	
2431.6	
2431.8	
2432.0	
2432.2	
2432.4	
2432.6	
2432.8	
2433.0	
2433.2	
2433.4	
2433.6	
2433.8	
2434.0	
2434.2	
2434.4	
2434.6	
2434.8	
2435.0	
2435.2	
2435.4	
2435.6	
2435.8	
2436.0	
2436.2	
2436.4	
2436.6	
2436.8	
2437.0	
2437.2	
2437.4	
2437.6	
2437.8	
2438.0	
2438.2	
2438.4	
2438.6	
2438.8	
2439.0	
2439.2	
2439.4	
2439.6	
2439.8	
2440.0	
2440.2	
2440.4	
2440.6	
2440.8	
2441.0	
2441.2	
2441.4	
2441.6	
2441.8	
2442.0	
2442.2	
2442.4	
2442.6	
2442.8	
2443.0	
2443.2	
2443.4	
2443.6	
2443.8	
2444.0	
2444.2	
2444.4	
2444.6	
2444.8	
2445.0	
2445.2	
2445.4	
2445.6	
2445.8	
2446.0	
2446.2	
2446.4	
2446.6	
2446.8	
2447.0	
2447.2	
2447.4	
2447.6	
2447.8	
2448.0	
2448.2	
2448.4	
2448.6	
2448.8	
2449.0	
2449.2	
2449.4	
2449.6	
2449.8	
2450.0	
2450.2	
2450.4	
2450.6	
2450.8	
2451.0	
2451.2	
2451.4	
2451.6	
2451.8	
2452.0	
2452.2	
2452.4	
2452.6	
2452.8	
2453.0	
2453.2	
2453.4	1.7212880000000002
2453.6	1.7663399999999998
2453.8	1.763467
2454.0	1.7467559999999998
2454.2	1.6136949999999999
2454.4	1.439626
2454.6	1.460113
2454.8	1.631657
2455.0	1.751227
2455.2	1.6956510000000002
2455.4	1.631059
2455.6	1.741695
2455.8	1.816192
2456.0	1.6691259999999999
2456.2	1.5802319999999999
2456.4	1.68656
2456.6	1.806283
2456.8	1.8225949999999997
2457.0	1.820162
2457.2	1.830085
2457.4	1.8163170000000002
2457.6	1.753413
2457.8	1.6794369999999998
2458.0	1.6422619999999999
2458.2	1.5668439999999997
2458.4	1.4654800000000001
2458.6	1.51104
2458.8	1.639738
2459.0	1.687386
2459.2	1.7116009999999997
2459.4	1.762186
2459.6	1.815304
2459.8	1.8787659999999997
2460.0	1.894928
2460.2	1.8154580000000002
2460.4	1.6372869999999997
2460.6	1.5363030000000002
2460.8	1.555318
